Date,High,Low,Close,Open,Volume,Adj Close
2019-03-12,22787.67,22575.48,22675.74,22787.67,620300000.0,22675.74
2019-03-11,22686.67,22515.26,22674.47,22647.4,487060000.0,22674.47
2019-03-08,22730.28,22437.45,22539.25,22623.1,615630000.0,22539.25
2019-03-07,23085.09,22661.87,22760.86,22913.07,846100000.0,22760.86
2019-03-06,22992.52,22749.6,22938.83,22801.51,660060000.0,22938.83
2019-03-05,22886.39,22726.52,22783.12,22777.44,595490000.0,22783.12
2019-03-04,22906.6,22687.76,22776.62,22870.89,497450000.0,22776.62
2019-03-01,22874.97,22734.08,22734.08,22837.08,566830000.0,22734.08
2019-02-28,22705.52,22431.04,22686.91,22431.04,749220000.0,22686.91
2019-02-27,22578.21,22418.25,22509.7,22426.78,683910000.0,22509.7
2019-02-26,22520.28,22351.05,22475.53,22391.36,637080000.0,22475.53
2019-02-25,22505.1,22419.43,22453.66,22442.76,794680000.0,22453.66
2019-02-22,22303.71,22185.0,22277.0,22185.0,545360000.0,22277.0
2019-02-21,22336.77,22139.45,22195.52,22303.12,592010000.0,22195.52
2019-02-20,22300.29,22144.2,22290.0,22255.29,556410000.0,22290.0
2019-02-19,22365.55,22115.41,22209.88,22307.77,531020000.0,22209.88
2019-02-18,22348.31,22227.07,22334.18,22228.15,609070000.0,22334.18
2019-02-15,22262.66,21776.93,22204.24,21786.21,885300000.0,22204.24
2019-02-14,22066.44,21800.19,21821.27,22056.76,614320000.0,21821.27
2019-02-13,22028.8,21817.9,21961.32,21847.49,544190000.0,21961.32
2019-02-12,21826.68,21629.21,21772.14,21683.0,526880000.0,21772.14
2019-02-11,21628.82,21359.41,21522.16,21364.79,550710000.0,21522.16
2019-02-08,21535.01,21191.97,21276.8,21402.33,591810000.0,21276.8
2019-02-07,21971.57,21423.12,21423.12,21907.54,801980000.0,21423.12
2019-02-06,21981.64,21721.96,21963.29,21727.85,584210000.0,21963.29
2019-02-05,21804.92,21531.39,21793.13,21604.57,699780000.0,21793.13
2019-02-04,21609.96,21441.96,21557.52,21513.75,616510000.0,21557.52
2019-02-01,21808.97,21305.63,21520.27,21712.95,726220000.0,21520.27
2019-01-31,21871.79,21491.27,21686.66,21823.57,1310000000.0,21686.66
2019-01-30,21728.83,21633.97,21728.83,21690.63,523820000.00000006,21728.83
2019-01-29,21727.26,21513.81,21660.12,21547.27,506940000.0,21660.12
2019-01-28,21739.95,21514.87,21558.16,21697.3,466140000.0,21558.16
2019-01-25,21786.9,21619.63,21770.74,21630.86,539260000.0,21770.74
2019-01-24,21621.38,21326.39,21516.15,21357.9,646280000.0,21516.15
2019-01-23,21494.57,21201.87,21343.47,21282.88,641020000.0,21343.47
2019-01-22,21524.94,21347.58,21367.26,21459.54,782290000.0,21367.26
2019-01-21,21574.58,21480.61,21572.79,21551.68,503160000.0,21572.79
2019-01-18,21669.28,21488.47,21647.72,21568.47,917230000.0,21647.72
2019-01-17,21442.23,21242.36,21396.57,21283.66,478830000.0,21396.57
2019-01-16,21405.03,21165.34,21405.03,21174.87,609730000.0,21405.03
2019-01-15,21295.9,20930.79,21083.89,21225.08,662210000.0,21083.89
2019-01-14,21154.96,20928.62,21076.83,21094.07,563000000.0,21076.83
2019-01-11,21310.1,21114.94,21215.17,21296.47,636790000.0,21215.17
2019-01-10,21221.49,20959.34,21221.49,21021.51,586590000.0,21221.49
2019-01-09,21229.14,21049.54,21103.34,21067.11,596100000.0,21103.34
2019-01-08,21104.08,20824.19,20905.01,20882.67,604100000.0,20905.01
2019-01-07,20872.62,20692.38,20858.51,20811.07,500780000.0,20858.51
2019-01-04,20718.93,20250.29,20718.93,20250.29,744600000.0,20718.93
2019-01-03,20290.01,20003.76,20089.99,20052.72,681200000.0,20089.99
2019-01-02,20251.67,19770.38,20176.62,20013.3,441090000.0,20176.62
2018-12-28,20200.77,19966.89,20148.24,20012.28,1070000000.0000001,20148.24
2018-12-27,20160.34,19699.54,19848.73,20147.23,1080000000.0,19848.73
2018-12-21,20273.64,20070.02,20194.89,20227.11,1880000000.0,20194.89
2018-12-20,20555.86,20366.21,20366.21,20474.09,1090000000.0,20366.21
2018-12-19,20828.59,20602.08,20747.78,20602.08,1380000000.0,20747.78
2018-12-18,20582.08,20347.74,20428.93,20373.5,1320000000.0,20428.93
2018-12-17,20732.99,20442.9,20479.86,20732.99,663200000.0,20479.86
2018-12-14,20798.76,20562.96,20740.61,20714.8,1030000000.0,20740.61
2018-12-13,21061.2,20803.3,20891.83,20940.67,762770000.0,20891.83
2018-12-12,20866.48,20451.63,20787.82,20490.93,1160000000.0,20787.82
2018-12-11,20595.29,20241.96,20406.46,20378.93,776320000.0,20406.46
2018-12-10,20545.64,20220.96,20238.12,20440.22,669810000.0,20238.12
2018-12-07,20818.51,20597.68,20597.68,20650.69,616630000.0,20597.68
2018-12-06,21014.83,20433.79,20496.44,21014.83,1090000000.0,20496.44
2018-12-05,21287.7,20990.68,21213.03,21041.15,691120000.0,21213.03
2018-12-04,21517.8,21254.03,21254.03,21494.44,961020000.0,21254.03
2018-12-03,21567.83,21421.42,21525.7,21476.9,1520000000.0,21525.7
2018-11-30,21105.79,20947.77,21057.99,21102.28,997620000.0,21057.99
2018-11-29,21220.86,20931.02,21035.43,21172.92,759470000.0,21035.43
2018-11-28,21122.57,20962.19,20988.92,21063.46,2820000000.0,20988.92
2018-11-27,21190.69,20968.21,21017.63,21122.31,1010000000.0,21017.63
2018-11-26,21184.75,20883.21,21103.66,20883.21,1540000000.0,21103.66
2018-11-23,20606.39,20431.41,20553.71,20431.41,1260000000.0,20553.71
2018-11-22,20577.89,20316.43,20410.82,20453.5,1140000000.0,20410.82
2018-11-21,20584.59,20310.51,20528.44,20459.12,928390000.0,20528.44
2018-11-20,20645.37,20263.53,20276.27,20602.04,1330000000.0,20276.27
2018-11-19,21023.94,20674.3,20674.3,20799.23,1440000000.0,20674.3
2018-11-16,20983.43,20641.41,20752.08,20916.61,1620000000.0,20752.08
2018-11-15,21133.13,20629.03,20782.29,21066.68,1400000000.0,20782.29
2018-11-14,21169.11,20761.77,20976.05,20937.03,3200000000.0,20976.05
2018-11-13,21185.99,20859.41,21150.75,21025.76,1940000000.0,21150.75
2018-11-12,21328.79,20979.08,20979.08,21299.13,586250000.0,20979.08
2018-11-09,21294.33,21093.31,21217.99,21262.35,1460000000.0,21217.99
2018-11-08,21608.54,21344.06,21388.9,21555.27,1270000000.0,21388.9
2018-11-07,21571.29,21333.33,21513.13,21333.33,1450000000.0,21513.13
2018-11-06,21273.51,21015.91,21210.98,21273.51,1000000000.0,21210.98
2018-11-05,21357.17,21233.16,21233.84,21357.17,751910000.0,21233.84
2018-11-02,21493.59,21292.98,21348.12,21316.4,1110000000.0,21348.12
2018-11-01,21223.43,20902.64,21112.53,20940.11,645870000.0,21112.53
2018-10-31,21162.37,20938.98,20977.36,21095.83,906940000.0,20977.36
2018-10-30,21104.23,20763.25,20915.75,21012.73,873090000.0,20915.75
2018-10-29,21161.53,20749.62,20975.51,20832.61,1220000000.0,20975.51
2018-10-26,20626.15,20309.38,20565.89,20626.15,1640000000.0,20565.89
2018-10-25,20744.93,20287.0,20723.43,20309.27,1130000000.0,20723.43
2018-10-24,20838.74,20375.53,20375.53,20787.34,1120000000.0,20375.53
2018-10-23,20885.71,20618.55,20699.53,20712.4,901130000.0,20699.53
2018-10-22,21447.85,20880.94,20916.54,21368.18,1030000000.0,20916.54
2018-10-19,21159.54,20696.09,21045.42,21004.08,1670000000.0,21045.42
2018-10-18,21603.3,21074.33,21074.33,21407.59,903370000.0,21074.33
2018-10-17,21928.47,21379.65,21447.62,21796.48,1020000000.0,21447.62
2018-10-16,21731.49,21214.38,21720.93,21305.71,1480000000.0,21720.93
2018-10-15,21302.27,21148.4,21243.74,21211.04,1120000000.0,21243.74
2018-10-12,21564.2,21245.34,21245.34,21503.38,1670000000.0,21245.34
2018-10-11,21635.22,21319.76,21319.76,21395.4,2069999999.9999998,21319.76
2018-10-10,22161.52,21711.45,21711.45,21951.28,1460000000.0,21711.45
2018-10-09,22164.47,21706.46,22088.21,21981.4,1400000000.0,22088.21
2018-10-08,22277.49,21849.65,21901.98,22273.95,1170000000.0,21901.98
2018-10-05,22752.34,22431.64,22455.54,22741.43,1200000000.0,22455.54
2018-10-04,22948.27,22756.41,22784.79,22895.78,954290000.0,22784.79
2018-10-03,23056.66,22758.0,22917.7,23006.93,1490000000.0,22917.7
2018-10-02,22840.11,22398.46,22741.72,22581.03,1370000000.0,22741.72
2018-10-01,23300.75,22765.66,22820.67,22817.67,1860000000.0,22820.67
2018-09-28,23522.72,22705.09,22917.54,23522.72,2029999999.9999998,22917.54
2018-09-27,23789.62,23446.85,23751.0,23753.84,1170000000.0,23751.0
2018-09-26,23939.17,23830.29,23894.68,23910.07,1640000000.0,23894.68
2018-09-25,23924.43,23659.5,23924.43,23659.5,2260000000.0,23924.43
2018-09-24,23760.07,23598.43,23606.95,23721.18,2200000000.0,23606.95
2018-09-21,23940.8,23749.46,23816.6,23832.18,1310000000.0,23816.6
2018-09-20,23773.42,23589.3,23674.89,23593.41,2000000000.0,23674.89
2018-09-19,23619.31,23381.84,23576.0,23526.81,807120000.0,23576.0
2018-09-18,23518.18,23312.63,23518.18,23404.14,622440000.0,23518.18
2018-09-17,23429.49,23085.7,23391.19,23109.84,698230000.0,23391.19
2018-09-14,23237.33,23055.61,23165.92,23228.29,538910000.0,23165.92
2018-09-13,23328.98,23100.75,23119.47,23174.01,718750000.0,23119.47
2018-09-12,23240.03,22916.91,23234.36,23163.52,711120000.0,23234.36
2018-09-11,23287.57,22984.9,23114.22,23280.91,726440000.0,23114.22
2018-09-10,23259.57,22659.28,23181.83,22695.49,1070000000.0000001,23181.83
2018-09-07,22844.0,22542.59,22694.19,22798.19,780560000.0,22694.19
2018-09-06,22997.5,22726.44,22763.37,22801.83,755050000.0,22763.37
2018-09-05,23115.72,22736.87,22817.89,22805.75,1260000000.0,22817.89
2018-09-04,22886.9,22608.74,22826.46,22743.11,1180000000.0,22826.46
2018-09-03,22641.14,22478.89,22628.6,22483.39,509110000.0,22628.6
2018-08-31,22739.83,22469.17,22486.58,22736.43,980720000.0,22486.58
2018-08-30,23006.21,22718.29,22718.29,22948.45,572910000.0,22718.29
2018-08-29,22985.1,22720.68,22985.1,22835.66,564840000.0,22985.1
2018-08-28,23088.04,22783.42,22844.15,23082.35,654960000.0,22844.15
2018-08-27,23042.21,22825.26,23038.93,23022.93,462910000.0,23038.93
2018-08-24,23013.88,22875.32,22974.17,22875.32,651010000.0,22974.17
2018-08-23,22983.43,22799.53,22855.03,22942.26,505200000.0,22855.03
2018-08-22,23080.41,22910.48,22946.6,22957.93,532419999.99999994,22946.6
2018-08-21,23069.78,22666.5,23025.22,22671.05,556480000.0,23025.22
2018-08-20,22769.2,22581.54,22683.49,22683.52,468180000.0,22683.49
2018-08-17,22791.68,22449.85,22620.6,22722.05,619650000.0,22620.6
2018-08-16,23107.4,22690.88,22742.58,23015.53,718070000.0,22742.58
2018-08-14,23370.14,23085.87,23136.73,23338.93,855290000.0,23136.73
2018-08-13,23299.66,22999.95,23203.09,23189.63,644990000.0,23203.09
2018-08-10,23709.74,23212.11,23344.61,23660.77,944990000.0,23344.61
2018-08-09,24079.12,23847.21,23903.19,24041.41,713790000.0,23903.19
2018-08-08,24223.7,24028.52,24055.48,24120.69,1210000000.0,24055.48
2018-08-07,24150.7,23919.73,24112.76,23921.33,963930000.0,24112.76
2018-08-06,23897.17,23725.93,23840.55,23859.66,1880000000.0,23840.55
2018-08-03,23951.68,23576.18,23835.24,23728.74,1090000000.0,23835.24
2018-08-02,23968.81,23582.55,23664.97,23945.81,977630000.0,23664.97
2018-08-01,24499.95,24080.59,24080.59,24499.95,1760000000.0,24080.59
2018-07-31,24519.71,24203.12,24485.91,24203.12,1950000000.0,24485.91
2018-07-30,24232.19,24123.71,24205.78,24130.11,791870000.0,24205.78
2018-07-27,24233.78,24073.71,24212.19,24073.71,986180000.0,24212.19
2018-07-26,24115.88,23916.33,24105.62,23916.33,777310000.0,24105.62
2018-07-25,24156.98,23763.57,23776.74,24055.5,777480000.0,23776.74
2018-07-24,24117.22,23956.71,24083.81,23970.03,900660000.0,24083.81
2018-07-23,24012.39,23777.13,23823.74,23874.84,1010000000.0,23823.74
2018-07-20,24100.14,23838.74,24032.3,24010.37,642250000.0,24032.3
2018-07-19,24310.91,24046.43,24129.46,24217.58,595500000.0,24129.46
2018-07-18,24296.25,24139.49,24220.58,24291.69,474720000.0,24220.58
2018-07-17,24230.83,23976.57,24211.04,24038.43,547390000.0,24211.04
2018-07-16,24293.94,24042.25,24042.25,24101.0,503760000.0,24042.25
2018-07-13,24169.52,24019.24,24101.4,24086.34,733160000.0,24101.4
2018-07-12,24044.52,23771.04,23992.27,23945.76,693250000.0,23992.27
2018-07-11,24110.14,23863.92,23893.65,24100.14,855910000.0,23893.65
2018-07-10,24404.65,24121.2,24267.0,24286.86,770140000.0,24267.0
2018-07-09,24308.25,24160.26,24246.47,24257.99,671920000.0,24246.47
2018-07-06,24222.92,24031.87,24142.68,24191.84,646440000.0,24142.68
2018-07-05,24225.77,23941.28,24110.66,23941.28,629500000.0,24110.66
2018-07-04,23967.0,23844.2,23862.27,23939.9,557550000.0,23862.27
2018-07-03,24023.62,23653.81,23970.76,23745.14,994110000.0,23970.76
2018-07-02,23723.77,23352.82,23618.18,23599.88,585850000.0,23618.18
2018-06-29,24038.08,23780.29,23827.21,23898.45,716540000.0,23827.21
2018-06-28,23826.54,23471.28,23616.1,23618.11,700440000.0,23616.1
2018-06-27,23932.01,23350.34,23746.5,23622.61,1100000000.0,23746.5
2018-06-26,23800.37,23533.61,23641.0,23733.05,609830000.0,23641.0
2018-06-25,24009.06,23590.67,23590.67,23985.06,574430000.0,23590.67
2018-06-22,24197.13,23956.75,24136.45,23968.9,523419999.99999994,24136.45
2018-06-21,24477.37,23858.77,23893.72,24438.03,568830000.0,23893.72
2018-06-20,24569.37,24349.76,24357.64,24518.18,681140000.0,24357.64
2018-06-19,24412.06,23936.32,24320.39,24024.19,611520000.0,24320.39
2018-06-18,24439.64,24183.65,24333.84,24346.48,502110000.0,24333.84
2018-06-15,24772.71,24414.78,24436.6,24772.71,902310000.0,24436.6
2018-06-14,24775.45,24204.57,24746.07,24349.66,821440000.0,24746.07
2018-06-13,24599.53,24345.03,24460.86,24401.53,758440000.0,24460.86
2018-06-12,24572.87,24215.49,24352.93,24425.41,774520000.0,24352.93
2018-06-11,24364.65,23946.86,24311.78,23982.64,1130000000.0,24311.78
2018-06-08,23865.98,23500.22,23553.67,23724.61,775250000.0,23553.67
2018-06-07,24317.61,23921.83,23998.41,24197.08,721120000.0,23998.41
2018-06-06,24110.27,23632.41,24039.13,24046.13,927580000.0,24039.13
2018-06-05,24406.08,23973.72,23973.72,24156.17,836460000.0,23973.72
2018-06-04,24583.88,24125.42,24219.63,24556.12,780600000.0,24219.63
2018-06-01,24616.6,24212.28,24299.1,24412.0,1440000000.0,24299.1
2018-05-31,24250.01,23738.24,23929.59,24007.15,1680000000.0,23929.59
2018-05-30,23977.9,23393.85,23905.82,23559.03,1400000000.0,23905.82
2018-05-29,23771.63,23203.51,23421.92,23688.18,2190000000.0,23421.92
2018-05-28,25056.32,23957.26,24075.53,24826.56,2250000000.0,24075.53
2018-05-25,25042.14,24402.41,24600.58,25006.25,1410000000.0,24600.58
2018-05-24,25355.83,24828.63,24952.64,25185.07,940590000.0,24952.64
2018-05-23,25270.91,24929.82,25101.2,25270.91,1150000000.0,25101.2
2018-05-22,25497.29,25229.8,25421.64,25335.77,1080000000.0,25421.64
2018-05-21,25640.02,25152.74,25285.83,25288.6,1060000000.0,25285.83
2018-05-18,26160.88,25582.1,25644.75,26160.88,1490000000.0,25644.75
2018-05-17,26246.15,25853.21,26046.6,26087.27,921460000.0,26046.6
2018-05-16,26505.39,25869.13,25976.89,26466.85,1240000000.0,25976.89
2018-05-15,26661.39,26463.04,26586.35,26463.04,771040000.0,26586.35
2018-05-14,26546.49,26272.79,26546.49,26489.43,789230000.0,26546.49
2018-05-11,26494.82,26279.58,26488.3,26444.82,1870000000.0,26488.3
2018-05-10,26656.83,26184.42,26350.89,26614.73,1100000000.0,26350.89
2018-05-09,26732.72,26536.83,26592.98,26536.83,1270000000.0,26592.98
2018-05-08,26855.85,26252.58,26461.89,26829.7,1330000000.0,26461.89
2018-05-07,26890.99,26610.96,26884.96,26684.85,735180000.0,26884.96
2018-05-04,26661.08,26472.98,26661.08,26493.07,985460000.0,26661.08
2018-05-03,26580.86,26339.87,26379.57,26541.89,705110000.0,26379.57
2018-05-02,26614.66,26281.28,26574.93,26289.11,920950000.0,26574.93
2018-04-30,26300.31,26096.09,26255.0,26216.93,780150000.0,26255.0
2018-04-27,26313.6,26072.59,26198.14,26260.01,1020000000.0,26198.14
2018-04-26,26293.0,26062.79,26293.0,26114.75,1060000000.0,26293.0
2018-04-25,26284.15,25932.77,26061.8,26193.57,799400000.0,26061.8
2018-04-24,26339.18,26180.01,26307.31,26180.01,1120000000.0,26307.31
2018-04-23,26223.84,26002.3,26223.84,26017.45,889100000.0,26223.84
2018-04-20,26186.93,25932.63,26063.14,26038.48,737030000.0,26063.14
2018-04-19,26075.55,25933.68,26019.58,26024.09,756860000.0,26019.58
2018-04-18,26061.13,25855.93,26015.74,25941.31,806330000.0,26015.74
2018-04-17,25924.4,25627.32,25894.94,25647.15,1090000000.0,25894.94
2018-04-16,25656.79,25535.08,25565.89,25576.2,528400000.0,25565.89
2018-04-13,25672.98,25516.96,25566.29,25559.15,781790000.0,25566.29
2018-04-12,25566.91,25239.2,25537.51,25250.42,1320000000.0,25537.51
2018-04-11,25454.91,25181.04,25240.08,25381.82,1220000000.0,25240.08
2018-04-10,25446.42,25290.7,25425.04,25419.3,1140000000.0,25425.04
2018-04-09,25384.67,25192.53,25299.95,25256.72,1040000000.0,25299.95
2018-04-06,25256.02,25111.52,25189.09,25181.28,1250000000.0,25189.09
2018-04-05,25225.81,24964.83,25213.44,24977.8,1100000000.0,25213.44
2018-04-04,24781.13,24435.22,24672.33,24770.97,660490000.0,24672.33
2018-04-03,24805.89,24458.42,24754.91,24536.04,671910000.0,24754.91
2018-03-29,24810.62,24561.03,24661.36,24611.32,836590000.0,24661.36
2018-03-28,24558.78,24145.96,24558.78,24252.24,980590000.0,24558.78
2018-03-27,24647.4,24416.73,24458.1,24584.64,697700000.0,24458.1
2018-03-26,24608.28,24148.17,24237.6,24608.28,594720000.0,24237.6
2018-03-23,24611.4,24186.64,24535.92,24369.07,1210000000.0,24535.92
2018-03-22,25096.57,24454.28,24640.59,24956.41,1390000000.0,24640.59
2018-03-21,25140.61,24942.07,25082.53,25121.16,1460000000.0,25082.53
2018-03-20,25122.06,24887.95,25079.93,24932.43,1560000000.0,25079.93
2018-03-19,25148.79,24882.23,24916.22,25120.11,3750000000.0,24916.22
2018-03-16,25225.58,24984.12,25135.16,25091.14,1480000000.0,25135.16
2018-03-15,25030.42,24737.41,25010.05,24824.53,1000000000.0,25010.05
2018-03-14,25090.23,24680.13,24728.24,24992.41,1250000000.0,24728.24
2018-03-13,25193.24,24892.15,24991.27,25111.36,1850000000.0,24991.27
2018-03-12,25194.77,25011.25,25069.69,25185.46,1600000000.0,25069.69
2018-03-09,25062.86,24887.97,25037.81,24969.35,1570000000.0,25037.81
2018-03-08,25048.35,24654.94,24984.7,24742.22,1100000000.0,24984.7
2018-03-07,24742.16,24318.91,24694.66,24347.95,884560000.0,24694.66
2018-03-06,24492.0,24150.52,24412.12,24185.55,1320000000.0,24412.12
2018-03-05,24002.11,23623.75,23988.88,23623.75,1220000000.0,23988.88
2018-03-02,24471.42,23985.0,24064.99,24462.18,976280000.0,24064.99
2018-03-01,24802.66,24540.47,24630.88,24740.67,910790000.0,24630.88
2018-02-28,25011.85,24819.9,24825.41,24828.24,814610000.0,24825.41
2018-02-27,25088.96,24872.96,24950.95,25007.79,1310000000.0,24950.95
2018-02-26,25099.94,24871.26,24955.81,25006.58,2100000000.0,24955.81
2018-02-23,24931.23,24634.03,24893.6,24708.66,918130000.0,24893.6
2018-02-22,24834.18,24501.95,24700.32,24750.36,1420000000.0,24700.32
2018-02-21,24936.71,24686.7,24893.24,24872.43,844120000.0,24893.24
2018-02-20,24975.08,24738.87,24924.55,24845.68,1190000000.0,24924.55
2018-02-19,25140.34,24829.43,24829.43,25134.46,2470000000.0,24829.43
2018-02-16,25076.03,24884.02,25070.82,24967.91,955600000.0,25070.82
2018-02-15,24980.46,24639.09,24745.76,24787.8,1120000000.0,24745.76
2018-02-14,24721.96,24120.23,24673.16,24408.94,1530000000.0,24673.16
2018-02-13,24608.25,24247.49,24247.49,24572.36,1090000000.0,24247.49
2018-02-12,24756.72,24467.58,24563.73,24641.49,1160000000.0,24563.73
2018-02-09,24813.26,24288.33,24398.7,24582.22,2000000000.0,24398.7
2018-02-08,25298.54,24652.79,24717.55,25185.6,1920000000.0,24717.55
2018-02-07,25318.07,24691.23,25296.46,24897.74,1810000000.0,25296.46
2018-02-06,24926.67,24218.06,24617.04,24235.48,1480000000.0,24617.04
2018-02-05,25401.37,25121.09,25130.45,25231.06,823430000.0,25130.45
2018-02-02,25938.19,25524.49,25542.24,25930.37,817810000.0,25542.24
2018-02-01,26212.46,25820.59,25926.38,26026.73,820270000.0,25926.38
2018-01-31,25998.58,25798.24,25893.67,25889.15,1100000000.0,25893.67
2018-01-30,26230.75,25791.87,25862.55,26117.78,1430000000.0,25862.55
2018-01-29,26420.89,26214.62,26242.02,26363.72,646230000.0,26242.02
2018-01-26,26333.92,26131.32,26317.96,26159.15,599920000.0,26317.96
2018-01-25,26261.42,26029.45,26151.86,26056.57,882520000.0,26151.86
2018-01-24,26330.33,26068.75,26068.75,26270.61,2029999999.9999998,26068.75
2018-01-23,26496.68,26234.12,26292.46,26437.51,959750000.0,26292.46
2018-01-22,26343.29,26073.25,26338.22,26113.05,806770000.0,26338.22
2018-01-19,26289.56,26019.49,26179.35,26039.41,1090000000.0,26179.35
2018-01-18,26044.04,25857.68,26044.04,26000.85,903300000.0,26044.04
2018-01-17,25978.64,25775.47,25932.6,25785.44,2260000000.0,25932.6
2018-01-16,26114.77,25861.07,25911.16,25951.81,2020000000.0,25911.16
2018-01-15,26014.26,25743.41,25956.88,25878.2,2560000000.0,25956.88
2018-01-12,25886.49,25757.23,25845.71,25842.85,891750000.0,25845.71
2018-01-11,25733.12,25542.69,25718.26,25573.35,1660000000.0,25718.26
2018-01-10,25583.76,25367.79,25570.28,25415.5,1620000000.0,25570.28
2018-01-09,25492.75,25259.67,25443.1,25267.9,1190000000.0,25443.1
2018-01-08,25304.38,25110.07,25260.47,25275.68,675560000.0,25260.47
2018-01-05,25162.04,24925.61,25162.04,24931.0,985000000.0,25162.04
2018-01-04,24958.22,24375.19,24896.43,24375.19,1010000000.0,24896.43
2018-01-03,24300.49,24071.96,24267.16,24237.72,919410000.0,24267.16
2018-01-02,24286.17,23938.94,24186.08,24243.63,696660000.0,24186.08
